timestamp,pm2_5,pm10,co2,tvoc,ozone,temperature,humidity
2025-05-25T10:00:00,12.0,20.0,469.6,31.7,52.4,28.3,57.7
2025-05-25T11:00:00,16.9,31.5,450.2,28.8,52.9,27.7,37.7
2025-05-25T12:00:00,17.2,24.4,650.2,59.1,35.5,28.2,42.1
2025-05-25T13:00:00,13.6,31.2,608.5,39.4,19.3,32.1,26.5
2025-05-25T14:00:00,19.7,22.8,560.8,47.4,48.3,31.9,46.5
2025-05-25T15:00:00,14.5,19.0,543.0,47.7,58.0,31.7,32.9
2025-05-25T16:00:00,20.6,34.6,497.3,55.5,32.4,27.6,42.2
2025-05-25T17:00:00,21.8,25.2,550.8,57.9,15.4,28.7,27.9
2025-05-25T18:00:00,18.6,38.2,601.0,54.0,34.4,27.0,26.9
2025-05-25T19:00:00,20.2,35.0,500.6,82.8,17.7,23.8,38.6
2025-05-25T20:00:00,14.2,21.2,479.4,75.8,18.1,23.8,27.9
2025-05-25T21:00:00,3.6,8.3,533.5,10.2,42.1,23.3,32.1
2025-05-25T22:00:00,7.3,18.3,533.7,33.5,32.9,21.2,38.4
2025-05-25T23:00:00,21.0,42.5,400.2,14.2,11.6,17.4,41.0
2025-05-26T00:00:00,15.6,35.4,435.9,38.7,25.3,19.8,50.9
2025-05-26T01:00:00,17.5,30.7,444.1,23.5,18.6,15.5,41.4
2025-05-26T02:00:00,21.8,34.7,482.9,61.1,20.4,16.6,40.4
2025-05-26T03:00:00,19.6,28.8,398.9,15.5,40.5,21.2,69.4
2025-05-26T04:00:00,23.4,24.1,491.4,25.4,34.6,18.6,66.0
2025-05-26T05:00:00,8.3,22.2,453.4,60.8,38.0,18.6,67.0
2025-05-26T06:00:00,10.3,15.1,485.8,90.8,36.5,21.9,78.6
2025-05-26T07:00:00,24.0,39.8,487.5,63.6,10.7,25.2,70.6
2025-05-26T08:00:00,21.0,41.8,492.2,81.9,22.5,22.3,55.3
2025-05-26T09:00:00,17.5,24.1,615.5,34.0,10.0,24.7,56.3
2025-05-26T10:00:00,14.9,27.6,472.2,16.6,34.0,27.9,57.3
2025-05-26T11:00:00,15.0,35.0,531.3,23.7,37.9,27.5,54.4
2025-05-26T12:00:00,19.6,40.4,491.1,32.0,43.5,29.1,32.3
2025-05-26T13:00:00,15.5,20.1,527.8,18.3,58.0,30.1,41.3
2025-05-26T14:00:00,10.7,28.2,653.4,59.1,56.0,29.5,40.3
2025-05-26T15:00:00,10.9,16.0,433.6,22.2,49.1,32.8,26.0
2025-05-26T16:00:00,16.6,30.5,621.4,25.0,49.6,28.4,19.4
2025-05-26T17:00:00,31.8,46.9,548.3,70.4,21.4,26.5,29.4
2025-05-26T18:00:00,25.5,37.1,636.0,70.2,13.4,28.9,13.1
2025-05-26T19:00:00,23.1,47.0,551.4,92.5,24.5,25.0,21.5
2025-05-26T20:00:00,17.0,20.5,569.8,61.2,39.2,22.8,33.0
2025-05-26T21:00:00,13.4,16.2,557.4,19.9,29.3,23.7,33.8
2025-05-26T22:00:00,18.9,22.1,470.9,30.1,10.9,22.8,40.0
2025-05-26T23:00:00,20.4,26.9,489.9,36.2,44.6,22.7,27.4
2025-05-27T00:00:00,23.9,45.7,358.2,13.4,25.6,20.4,53.4
2025-05-27T01:00:00,7.1,7.0,367.5,62.9,24.7,15.6,58.2
2025-05-27T02:00:00,21.1,38.8,363.0,57.8,24.3,16.4,61.0
2025-05-27T03:00:00,9.8,13.5,433.5,22.4,40.6,19.8,69.5
2025-05-27T04:00:00,4.3,1.8,477.3,11.3,25.5,20.2,57.2
2025-05-27T05:00:00,15.0,25.0,440.4,26.9,31.0,20.4,62.0
2025-05-27T06:00:00,10.1,24.4,451.9,102.2,27.3,18.6,65.6
2025-05-27T07:00:00,21.4,34.7,480.6,48.6,11.1,20.5,58.3
2025-05-27T08:00:00,18.1,30.3,618.0,73.6,35.7,21.2,58.5
2025-05-27T09:00:00,25.8,42.8,584.9,20.2,23.8,22.8,63.7
2025-05-27T10:00:00,6.0,19.5,432.9,47.8,36.2,28.6,64.7
2025-05-27T11:00:00,18.6,29.6,557.4,31.2,25.3,26.3,63.4
2025-05-27T12:00:00,23.7,37.4,640.2,46.8,22.8,31.3,48.3
2025-05-27T13:00:00,11.0,24.5,598.0,65.0,27.7,29.3,33.7
2025-05-27T14:00:00,17.8,29.4,578.9,18.1,52.2,29.1,29.9
2025-05-27T15:00:00,13.0,22.3,643.4,17.9,25.3,31.9,19.6
2025-05-27T16:00:00,14.4,30.7,568.5,45.2,34.3,31.8,41.8
2025-05-27T17:00:00,24.9,46.8,508.3,64.0,28.0,30.8,14.8
2025-05-27T18:00:00,22.6,28.0,596.6,61.7,11.6,29.5,36.2
2025-05-27T19:00:00,30.8,54.1,545.9,94.4,21.4,24.7,26.3
2025-05-27T20:00:00,15.3,23.9,561.5,75.7,15.7,22.9,34.4
2025-05-27T21:00:00,5.6,8.1,565.5,68.8,22.9,24.0,38.2
2025-05-27T22:00:00,14.3,26.3,555.1,51.3,33.1,23.6,25.6
2025-05-27T23:00:00,23.3,36.7,447.9,30.9,16.9,16.8,29.1
2025-05-28T00:00:00,13.4,17.0,463.0,51.0,36.8,20.0,57.2
2025-05-28T01:00:00,9.5,10.4,439.1,35.6,24.3,17.6,35.8
2025-05-28T02:00:00,7.8,16.0,474.4,56.0,32.7,20.0,56.3
2025-05-28T03:00:00,9.1,12.1,446.2,51.2,42.0,20.5,53.1
2025-05-28T04:00:00,20.7,34.4,447.4,66.5,44.7,20.7,76.3
2025-05-28T05:00:00,5.3,7.1,356.6,19.1,31.8,18.6,50.8
2025-05-28T06:00:00,6.3,10.1,377.1,63.6,40.2,20.6,66.0
2025-05-28T07:00:00,22.0,33.3,418.9,62.9,14.5,24.9,74.3
2025-05-28T08:00:00,20.7,41.9,629.6,66.8,13.7,22.9,52.5
2025-05-28T09:00:00,33.2,67.4,541.8,31.9,42.2,24.1,49.1
2025-05-28T10:00:00,5.9,13.0,535.6,58.4,33.8,29.8,67.0
2025-05-28T11:00:00,22.1,25.7,423.8,13.5,43.3,26.1,45.6
2025-05-28T12:00:00,19.2,27.5,598.7,47.6,41.6,27.3,37.0
2025-05-28T13:00:00,15.5,30.2,569.7,45.4,47.8,30.7,42.4
2025-05-28T14:00:00,8.3,22.0,531.6,46.4,39.8,32.7,49.2
2025-05-28T15:00:00,10.3,16.9,559.3,42.7,47.8,30.5,27.8
2025-05-28T16:00:00,5.6,14.9,519.4,40.1,53.2,27.4,26.9
2025-05-28T17:00:00,24.4,29.4,499.8,60.1,29.7,29.8,34.4
2025-05-28T18:00:00,23.9,43.9,530.2,53.8,42.8,26.1,31.1
2025-05-28T19:00:00,27.2,42.4,508.4,43.7,25.3,24.5,35.1
2025-05-28T20:00:00,14.7,29.5,561.6,77.9,31.5,22.6,19.9
2025-05-28T21:00:00,23.4,30.6,567.9,25.3,34.8,22.1,40.2
2025-05-28T22:00:00,18.1,35.2,546.2,42.4,36.8,23.3,47.3
2025-05-28T23:00:00,9.1,9.9,464.7,30.8,44.6,21.8,40.7
2025-05-29T00:00:00,11.4,20.0,360.9,10.3,32.5,18.3,51.5
2025-05-29T01:00:00,10.2,23.3,415.9,63.8,13.6,18.8,62.2
2025-05-29T02:00:00,6.8,19.1,472.7,32.2,24.0,15.8,66.5
2025-05-29T03:00:00,21.8,37.1,427.8,62.4,16.5,15.5,52.8
2025-05-29T04:00:00,13.5,21.3,452.7,17.8,32.4,17.0,55.4
2025-05-29T05:00:00,10.7,10.6,362.0,20.3,15.6,20.2,52.1
2025-05-29T06:00:00,6.2,7.3,367.6,41.0,18.0,22.3,74.1
2025-05-29T07:00:00,25.4,41.0,412.0,86.3,17.7,22.2,57.3
2025-05-29T08:00:00,21.1,33.6,519.8,65.0,10.5,24.3,67.7
2025-05-29T09:00:00,17.2,34.0,579.0,35.1,28.3,26.6,44.7
2025-05-29T10:00:00,11.7,27.0,512.4,32.4,51.9,25.7,49.9
2025-05-29T11:00:00,5.2,15.0,627.0,47.3,38.2,28.5,60.1
2025-05-29T12:00:00,20.2,27.6,487.3,33.7,26.4,30.3,42.7
2025-05-29T13:00:00,4.1,6.2,638.8,52.0,48.5,27.6,32.8
2025-05-29T14:00:00,20.1,30.1,628.4,67.2,32.5,29.8,24.0
2025-05-29T15:00:00,13.3,28.3,558.6,19.9,26.0,30.3,27.7
2025-05-29T16:00:00,11.1,19.9,601.3,15.7,44.9,29.8,30.1
2025-05-29T17:00:00,30.2,46.9,495.5,84.0,42.6,30.4,28.3
2025-05-29T18:00:00,33.7,51.4,519.2,103.8,12.9,24.6,22.5
2025-05-29T19:00:00,29.5,47.3,547.1,43.1,45.0,24.6,16.1
2025-05-29T20:00:00,10.3,11.6,629.4,73.2,19.9,21.9,24.2
2025-05-29T21:00:00,9.3,17.5,475.2,31.2,32.5,24.1,27.5
2025-05-29T22:00:00,16.1,25.9,660.5,34.4,44.7,20.0,39.3
2025-05-29T23:00:00,11.7,11.7,455.9,12.9,28.0,21.1,50.1
2025-05-30T00:00:00,20.3,32.8,411.4,51.5,20.0,19.2,36.2
2025-05-30T01:00:00,17.6,25.2,472.9,15.4,27.9,19.9,46.9
2025-05-30T02:00:00,8.3,5.9,400.7,48.6,18.9,15.8,54.3
2025-05-30T03:00:00,10.1,19.0,379.8,30.7,33.2,17.8,69.2
2025-05-30T04:00:00,15.8,27.9,478.0,39.0,17.8,16.3,57.9
2025-05-30T05:00:00,4.1,7.6,399.4,24.9,10.6,21.0,70.0
2025-05-30T06:00:00,10.6,24.9,487.3,48.1,17.5,18.6,57.6
2025-05-30T07:00:00,26.7,48.8,496.4,64.7,34.0,23.8,59.2
2025-05-30T08:00:00,18.6,33.9,408.4,45.6,18.6,25.4,66.8
2025-05-30T09:00:00,17.1,21.6,571.1,13.5,28.2,27.0,52.2
2025-05-30T10:00:00,22.9,44.5,590.2,57.6,22.9,26.9,47.1
2025-05-30T11:00:00,21.6,25.8,519.9,55.2,58.4,30.2,44.0
2025-05-30T12:00:00,17.8,36.6,501.3,23.4,55.1,27.5,40.5
2025-05-30T13:00:00,10.5,13.1,436.1,58.2,40.5,32.7,28.5
2025-05-30T14:00:00,21.2,39.3,499.7,41.5,40.2,31.6,29.5
2025-05-30T15:00:00,20.9,23.3,518.9,13.5,48.3,30.3,29.6
2025-05-30T16:00:00,21.3,28.8,591.3,43.7,54.2,29.1,18.4
2025-05-30T17:00:00,35.3,56.8,580.2,54.7,15.0,25.4,36.0
2025-05-30T18:00:00,26.1,42.7,577.1,39.9,39.7,28.3,29.5
2025-05-30T19:00:00,22.0,39.1,523.4,37.3,32.1,25.1,35.1
2025-05-30T20:00:00,10.8,18.3,525.2,60.6,30.1,23.6,36.6
2025-05-30T21:00:00,9.4,22.3,557.6,26.4,42.9,23.7,37.3
2025-05-30T22:00:00,23.3,38.3,588.6,29.1,11.8,20.9,27.0
2025-05-30T23:00:00,18.6,27.3,478.5,14.8,41.3,17.0,27.9
2025-05-31T00:00:00,3.4,7.6,385.3,25.3,40.9,17.4,33.2
2025-05-31T01:00:00,7.5,14.8,358.6,29.5,18.4,20.1,54.8
2025-05-31T02:00:00,3.5,7.7,409.9,69.8,17.4,16.0,46.1
2025-05-31T03:00:00,10.8,18.6,396.3,14.6,21.5,19.9,73.4
2025-05-31T04:00:00,15.1,33.5,417.3,31.5,36.7,16.1,67.5
2025-05-31T05:00:00,14.8,28.9,414.6,16.7,11.3,21.3,72.5
2025-05-31T06:00:00,19.9,25.1,390.0,53.3,20.5,18.3,53.0
2025-05-31T07:00:00,10.3,11.6,369.4,55.3,40.0,19.6,53.0
2025-05-31T08:00:00,26.2,46.2,530.6,87.9,42.5,24.2,50.8
2025-05-31T09:00:00,29.9,45.2,541.5,69.3,29.9,28.2,54.8
2025-05-31T10:00:00,14.9,25.5,504.9,57.6,61.7,28.3,50.9
2025-05-31T11:00:00,19.1,30.0,601.3,54.4,42.4,29.9,52.8
2025-05-31T12:00:00,8.0,19.0,637.1,59.7,44.6,28.0,54.2
2025-05-31T13:00:00,8.5,19.7,659.3,42.3,49.9,30.7,29.8
2025-05-31T14:00:00,4.5,13.4,472.8,20.5,35.5,28.3,23.5
2025-05-31T15:00:00,7.2,7.8,534.3,19.5,50.7,27.4,41.1
2025-05-31T16:00:00,3.2,10.9,503.5,44.1,48.2,28.5,25.2
2025-05-31T17:00:00,14.6,25.7,610.7,95.8,37.8,28.8,37.4
2025-05-31T18:00:00,10.5,28.1,679.0,94.3,12.2,28.5,19.3
2025-05-31T19:00:00,12.6,21.3,605.3,61.9,44.4,27.3,31.5
2025-05-31T20:00:00,14.5,27.7,618.0,71.7,35.4,26.6,31.7
2025-05-31T21:00:00,15.4,16.9,616.1,38.8,32.8,23.8,37.1
2025-05-31T22:00:00,17.0,27.1,509.4,59.3,22.6,22.6,36.9
2025-05-31T23:00:00,8.3,15.5,392.8,14.6,13.2,17.0,41.8
2025-06-01T00:00:00,4.9,11.5,433.9,56.0,24.6,24.1,36.4
2025-06-01T01:00:00,15.8,25.7,397.8,11.9,30.4,22.3,50.6
2025-06-01T02:00:00,7.2,11.8,447.3,50.0,14.1,18.8,52.1
2025-06-01T03:00:00,10.7,13.6,437.2,47.3,17.9,20.0,46.9
2025-06-01T04:00:00,10.2,25.8,415.7,25.3,38.8,21.7,52.7
2025-06-01T05:00:00,12.1,13.6,350.7,43.0,23.3,22.7,63.1
2025-06-01T06:00:00,2.7,2.8,410.2,46.1,11.4,25.7,69.7
2025-06-01T07:00:00,26.2,45.4,403.2,46.0,14.3,24.4,61.6
2025-06-01T08:00:00,28.1,51.1,604.5,63.5,23.9,26.0,62.9
2025-06-01T09:00:00,6.9,9.4,633.1,13.3,14.3,25.5,64.9
2025-06-01T10:00:00,13.9,27.4,495.6,66.7,44.2,32.3,46.9
2025-06-01T11:00:00,3.5,5.9,440.2,61.5,47.8,28.6,55.1
2025-06-01T12:00:00,18.1,31.8,663.1,43.8,52.8,33.0,34.3
2025-06-01T13:00:00,16.5,21.3,442.2,29.3,53.1,32.4,44.7
2025-06-01T14:00:00,7.9,20.9,518.2,31.0,51.0,32.4,38.3
2025-06-01T15:00:00,10.3,10.8,418.1,49.4,45.9,30.2,29.1
2025-06-01T16:00:00,12.4,18.6,567.9,43.7,54.5,32.3,21.5
2025-06-01T17:00:00,17.9,22.1,646.3,38.8,34.7,33.7,16.2
2025-06-01T18:00:00,31.1,60.3,616.0,82.6,20.6,27.2,27.2
2025-06-01T19:00:00,12.6,21.5,544.9,78.9,44.1,26.8,32.7
2025-06-01T20:00:00,18.5,30.1,522.6,84.4,43.0,27.2,29.1
2025-06-01T21:00:00,13.4,20.5,564.9,30.3,30.9,26.7,17.1
2025-06-01T22:00:00,2.8,12.4,570.0,10.8,35.1,24.8,24.5
2025-06-01T23:00:00,7.5,6.6,460.4,49.8,40.1,23.2,45.4
2025-06-02T00:00:00,19.7,30.8,350.8,21.4,12.3,23.6,42.9
2025-06-02T01:00:00,10.7,17.0,358.0,69.4,11.8,21.4,40.0
2025-06-02T02:00:00,13.1,27.0,353.1,48.2,38.2,19.1,65.2
2025-06-02T03:00:00,18.5,39.3,491.9,63.8,24.4,18.3,69.3
2025-06-02T04:00:00,19.5,28.1,441.4,59.3,28.7,21.0,69.6
2025-06-02T05:00:00,5.1,4.5,491.2,16.9,33.8,24.3,65.5
2025-06-02T06:00:00,17.1,36.4,363.4,57.2,24.9,22.9,59.4
2025-06-02T07:00:00,28.8,48.8,398.4,81.3,30.0,23.9,53.0
2025-06-02T08:00:00,39.8,72.9,582.7,57.3,15.6,24.0,58.5
2025-06-02T09:00:00,31.3,37.4,607.8,22.9,11.7,28.6,65.1
2025-06-02T10:00:00,4.8,1.6,444.7,50.8,30.2,31.2,58.2
2025-06-02T11:00:00,8.8,14.8,597.0,30.2,58.6,31.9,48.5
2025-06-02T12:00:00,5.7,19.4,530.3,37.4,28.7,30.7,57.6
2025-06-02T13:00:00,12.3,25.8,509.5,25.5,45.3,33.3,31.6
2025-06-02T14:00:00,6.4,16.9,525.2,56.7,42.0,34.9,20.7
2025-06-02T15:00:00,17.9,31.4,581.8,12.5,35.1,33.9,24.1
2025-06-02T16:00:00,6.3,11.7,513.9,35.2,36.0,33.3,41.6
2025-06-02T17:00:00,27.7,46.6,606.5,57.7,24.4,32.9,37.9
2025-06-02T18:00:00,24.7,29.9,457.8,40.8,26.9,30.1,24.4
2025-06-02T19:00:00,25.9,44.9,624.7,49.5,20.7,27.8,11.6
2025-06-02T20:00:00,21.7,24.5,686.6,64.2,18.9,28.2,30.8
2025-06-02T21:00:00,16.5,24.7,590.0,35.6,22.7,25.8,39.9
2025-06-02T22:00:00,10.9,16.4,580.7,48.3,20.7,22.7,48.4
2025-06-02T23:00:00,13.7,29.2,466.3,23.3,43.6,23.1,38.7
2025-06-03T00:00:00,20.4,38.7,404.5,54.4,37.4,21.3,55.0
2025-06-03T01:00:00,15.3,21.8,405.4,63.9,40.0,21.7,45.5
2025-06-03T02:00:00,21.0,40.1,482.1,18.7,25.3,20.1,63.5
2025-06-03T03:00:00,19.7,31.5,366.2,11.6,11.0,23.6,51.4
2025-06-03T04:00:00,16.3,22.1,467.4,32.0,43.8,20.9,56.7
2025-06-03T05:00:00,21.2,47.0,403.5,66.3,22.1,20.8,69.7
2025-06-03T06:00:00,5.2,10.2,491.4,77.2,33.8,23.6,56.3
2025-06-03T07:00:00,20.6,31.4,477.9,76.9,41.5,27.6,66.7
2025-06-03T08:00:00,15.2,22.0,589.9,67.9,38.0,26.2,49.4
2025-06-03T09:00:00,20.3,39.2,586.0,11.5,43.7,28.1,51.1
2025-06-03T10:00:00,19.9,29.4,538.1,59.9,35.8,32.9,48.4
2025-06-03T11:00:00,16.3,31.8,629.1,67.8,50.3,32.4,48.5
2025-06-03T12:00:00,10.7,20.1,439.8,49.4,36.7,29.1,30.8
2025-06-03T13:00:00,22.1,40.9,501.5,20.7,34.0,33.1,45.6
2025-06-03T14:00:00,9.8,25.3,616.0,26.7,58.7,33.2,23.5
2025-06-03T15:00:00,12.0,21.7,560.1,47.6,29.8,31.7,23.9
2025-06-03T16:00:00,12.4,20.7,569.5,26.9,36.2,32.2,27.6
2025-06-03T17:00:00,20.7,36.1,616.3,50.5,15.1,29.7,32.1
2025-06-03T18:00:00,33.3,43.7,527.7,82.7,41.2,30.3,35.4
2025-06-03T19:00:00,21.2,26.1,523.6,104.0,13.0,30.4,19.6
2025-06-03T20:00:00,5.6,18.3,604.7,95.7,39.9,24.6,29.9
2025-06-03T21:00:00,18.6,24.8,557.4,37.3,15.9,27.0,27.7
2025-06-03T22:00:00,22.4,35.4,525.6,58.2,11.1,22.9,32.0
2025-06-03T23:00:00,21.3,34.6,431.1,65.7,14.5,19.9,35.5
2025-06-04T00:00:00,16.2,26.5,476.6,22.4,10.6,19.3,31.1
2025-06-04T01:00:00,4.5,3.0,405.5,46.0,17.2,20.8,54.5
2025-06-04T02:00:00,21.8,42.2,373.2,22.7,14.9,22.4,57.7
2025-06-04T03:00:00,12.3,13.0,401.9,32.2,21.2,23.4,62.5
2025-06-04T04:00:00,17.9,32.5,451.5,27.4,39.4,21.8,54.5
2025-06-04T05:00:00,22.7,45.8,359.6,29.9,23.2,24.6,53.1
2025-06-04T06:00:00,12.9,19.0,377.9,75.0,19.7,26.3,54.4
2025-06-04T07:00:00,25.5,48.3,363.9,62.9,21.1,23.2,60.0
2025-06-04T08:00:00,21.1,40.1,515.3,57.7,14.6,27.5,59.4
2025-06-04T09:00:00,27.3,38.4,645.2,57.9,42.7,30.1,69.8
2025-06-04T10:00:00,9.8,20.0,556.1,13.3,36.5,31.5,51.3
2025-06-04T11:00:00,16.5,30.2,441.0,36.3,49.4,33.8,45.3
2025-06-04T12:00:00,9.2,18.6,660.3,30.5,30.2,30.2,49.3
2025-06-04T13:00:00,16.6,30.3,473.3,20.5,36.4,34.0,39.5
2025-06-04T14:00:00,15.1,25.1,476.0,34.8,31.9,30.4,34.3
2025-06-04T15:00:00,5.7,11.2,528.8,38.8,20.9,34.6,27.9
2025-06-04T16:00:00,12.6,13.3,523.8,44.2,23.7,32.2,40.2
2025-06-04T17:00:00,25.8,38.2,547.7,76.7,41.4,32.3,24.4
2025-06-04T18:00:00,17.3,30.9,521.5,61.5,26.8,31.8,19.7
2025-06-04T19:00:00,27.7,43.4,600.1,60.9,22.5,26.1,15.5
2025-06-04T20:00:00,20.8,34.9,567.6,92.1,18.0,25.9,35.2
2025-06-04T21:00:00,18.4,27.1,571.9,46.4,34.6,26.4,43.6
2025-06-04T22:00:00,13.4,17.3,565.8,59.7,37.3,26.8,22.6
2025-06-04T23:00:00,15.1,23.3,449.5,35.4,37.0,20.1,41.2
2025-06-05T00:00:00,21.3,23.4,441.2,19.6,31.0,20.6,40.4
2025-06-05T01:00:00,10.1,20.4,427.9,65.0,30.5,22.1,36.1
2025-06-05T02:00:00,19.4,32.3,370.4,36.7,16.0,21.7,56.0
2025-06-05T03:00:00,21.6,35.4,487.1,23.3,15.3,22.0,66.9
2025-06-05T04:00:00,10.1,26.0,404.0,34.8,35.2,24.2,74.7
2025-06-05T05:00:00,14.0,26.6,384.8,62.3,18.2,21.4,77.9
2025-06-05T06:00:00,16.3,21.8,367.3,42.3,32.6,21.8,72.8
2025-06-05T07:00:00,29.5,56.0,375.8,100.3,41.1,27.6,74.6
2025-06-05T08:00:00,15.3,18.2,674.0,38.0,31.3,23.9,50.7
2025-06-05T09:00:00,24.5,32.9,569.1,65.8,40.9,31.3,51.3
2025-06-05T10:00:00,11.1,20.8,616.2,61.8,55.7,29.5,42.1
2025-06-05T11:00:00,13.8,29.8,451.0,34.7,47.8,34.0,62.7
2025-06-05T12:00:00,7.9,21.2,479.3,59.5,58.4,30.1,48.9
2025-06-05T13:00:00,10.0,13.5,534.2,52.6,37.6,32.3,52.3
2025-06-05T14:00:00,23.2,37.6,647.4,47.9,41.5,30.6,23.9
2025-06-05T15:00:00,23.2,50.1,412.2,10.0,62.3,35.6,38.6
2025-06-05T16:00:00,13.2,21.4,581.9,40.6,44.1,33.6,42.3
2025-06-05T17:00:00,19.7,24.2,645.7,94.6,28.0,32.5,14.6
2025-06-05T18:00:00,19.0,22.1,478.3,57.9,27.0,32.0,32.3
2025-06-05T19:00:00,17.9,26.9,577.0,73.2,39.6,30.0,34.2
2025-06-05T20:00:00,14.0,26.5,501.9,64.5,25.9,25.1,42.7
2025-06-05T21:00:00,22.5,28.2,561.5,13.3,43.5,24.4,17.4
2025-06-05T22:00:00,19.5,35.7,574.0,19.6,34.1,21.1,30.0
2025-06-05T23:00:00,21.5,36.8,395.0,45.2,26.6,22.3,24.9
2025-06-06T00:00:00,7.1,11.1,357.5,39.8,22.3,21.1,44.0
2025-06-06T01:00:00,21.1,34.1,430.4,35.5,41.7,23.5,50.5
2025-06-06T02:00:00,6.9,10.3,396.3,69.2,35.6,18.8,58.5
2025-06-06T03:00:00,18.8,34.7,473.3,46.4,23.9,20.4,70.4
2025-06-06T04:00:00,13.0,20.3,461.9,15.1,35.0,20.1,49.9
2025-06-06T05:00:00,14.3,30.6,351.1,52.9,16.5,22.6,63.2
2025-06-06T06:00:00,21.2,36.1,381.2,77.8,40.6,21.6,77.1
2025-06-06T07:00:00,29.9,50.7,464.6,61.3,30.1,26.3,72.3
2025-06-06T08:00:00,31.0,49.4,528.1,38.6,29.8,29.3,54.2
2025-06-06T09:00:00,21.4,29.1,623.3,66.4,37.0,25.8,62.6
2025-06-06T10:00:00,15.1,24.0,665.2,64.3,34.5,28.2,55.6
2025-06-06T11:00:00,16.8,27.1,558.2,55.9,26.1,32.7,58.6
2025-06-06T12:00:00,8.2,23.1,424.5,65.6,48.9,34.1,35.2
2025-06-06T13:00:00,20.2,33.0,454.6,21.9,47.1,31.3,25.7
2025-06-06T14:00:00,7.7,11.2,450.3,23.1,41.8,33.2,40.5
2025-06-06T15:00:00,4.7,4.0,584.5,66.7,60.6,34.8,24.0
2025-06-06T16:00:00,13.7,28.2,599.4,66.7,43.4,29.2,19.2
2025-06-06T17:00:00,24.0,33.7,549.1,53.4,29.4,29.8,39.6
2025-06-06T18:00:00,35.1,49.4,568.0,58.6,25.8,32.6,27.0
2025-06-06T19:00:00,28.3,40.1,480.5,64.9,36.6,26.8,37.3
2025-06-06T20:00:00,7.2,10.9,466.4,72.3,29.6,25.9,42.4
2025-06-06T21:00:00,23.9,40.0,614.2,20.5,34.5,27.2,39.9
2025-06-06T22:00:00,17.0,20.8,547.1,27.9,14.6,25.2,49.8
2025-06-06T23:00:00,10.7,13.2,382.0,50.8,14.4,24.0,34.4
2025-06-07T00:00:00,19.9,36.3,434.6,14.4,29.2,19.8,58.8
2025-06-07T01:00:00,19.0,41.8,425.2,10.9,27.1,22.7,53.2
2025-06-07T02:00:00,12.5,14.2,481.1,26.2,23.1,18.4,64.2
